query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
L35	0.404457092285	41	CROP	0.016916990280200002	130.431	2	0.0	0.0	3	5	False	0.001	0.001	1.0	22	0.3875401020048	WatDiv	General
L35	0.363210916519	41	CROP	0.016122102737399998	130.431	2	0.0	0.0	3	5	False	0.001	0.001	1.0	22	0.3470888137816	WatDiv	General
L41	0.290343046188	54	CROP	0.020849943161	31.016	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.269493103027	WatDiv	General
L41	0.27793002128600003	54	CROP	0.0132458209991	31.016	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.26468420028690004	WatDiv	General
L41	0.29394197464	54	CROP	0.0183100700378	31.016	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.2756319046022	WatDiv	General
L42	0.29733300209	60	CROP	0.019307851791400002	31.555	2	0.0	0.0	3	5	False	0.001	0.001	1.0	34	0.27802515029860003	WatDiv	General
L42	0.29282617569	60	CROP	0.0209832191467	31.555	2	0.0	0.0	3	5	False	0.001	0.001	1.0	34	0.27184295654330004	WatDiv	General
L42	0.330614089966	60	CROP	0.0140519142151	31.555	2	0.0	0.0	3	5	False	0.001	0.001	1.0	34	0.3165621757509	WatDiv	General
L43	0.30908203125	47	CROP	0.018109798431400002	30.994	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.2909722328186	WatDiv	General
L43	0.343573093414	47	CROP	0.0192880630493	30.994	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.3242850303647	WatDiv	General
L43	0.318721055984	47	CROP	0.0185959339142	30.994	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.3001251220698	WatDiv	General
L44	0.31806993484499996	57	CROP	0.026524066925	31.269000000000002	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.29154586792	WatDiv	General
L44	0.321226119995	57	CROP	0.0172419548035	31.269000000000002	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.3039841651915	WatDiv	General
L44	0.325731039047	57	CROP	0.0157649517059	31.269000000000002	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.30996608734110004	WatDiv	General
L45	0.276684045792	47	CROP	0.0181348323822	30.994	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.2585492134098	WatDiv	General
L45	0.28663802146899997	47	CROP	0.017640113830599997	30.994	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.2689979076384	WatDiv	General
L45	0.297626018524	47	CROP	0.019099950790400003	30.994	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.2785260677336	WatDiv	General
L51	97.25207996370001	238	CROP	0.0244600772858	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	5343	97.22761988641422	WatDiv	General
