query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
L52,11.98560905456543,0.0475008487701416,11.938108205795288,1081,66,False,False,2,0,26.566000000000003,6052.737,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L52,12.116647958755493,0.03627300262451172,12.080374956130981,1081,66,False,False,2,0,26.316,4050.437,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L52,12.506426811218262,0.03904604911804199,12.46738076210022,1081,66,False,False,2,0,26.191000000000003,3049.2870000000003,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L52,11.930186986923218,0.036100149154663086,11.894086837768555,1081,66,False,False,2,0,26.116,2448.5969999999998,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L52,12.51374101638794,0.03567695617675781,12.478064060211182,1081,66,False,False,2,0,26.066,2048.1369999999997,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L52,12.251945972442627,0.035780906677246094,12.21616506576538,1081,66,False,False,2,0,26.030285714285714,1762.094142857143,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L55,20.094563961029053,0.03627896308898926,20.058284997940063,1814,76,False,False,2,0,27.816000000000003,22071.137000000002,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L55,20.35486602783203,0.03706002235412598,20.317806005477905,1814,76,False,False,2,0,27.316000000000003,12059.636999999999,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L55,20.60747504234314,0.03568291664123535,20.571792125701904,1814,76,False,False,2,0,26.566000000000003,6052.737,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L55,20.42986011505127,0.03544497489929199,20.394415140151978,1814,76,False,False,2,0,26.316,4050.437,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
