query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
F35,0.48639488220214844,0.11431002616882324,0.3720848560333252,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.1,0.9,WatDiv,WatDiv,6
F35,0.4727931022644043,0.08723592758178711,0.3855571746826172,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.15,0.1,WatDiv,WatDiv,6
F35,0.4567101001739502,0.08760309219360352,0.3691070079803467,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.15,0.3,WatDiv,WatDiv,6
F35,0.42069101333618164,0.0735170841217041,0.34717392921447754,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.15,0.5,WatDiv,WatDiv,6
F35,0.4611039161682129,0.08887481689453125,0.37222909927368164,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.15,0.7,WatDiv,WatDiv,6
F35,0.40189290046691895,0.07775688171386719,0.32413601875305176,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.15,0.9,WatDiv,WatDiv,6
F35,0.4534010887145996,0.0895071029663086,0.363893985748291,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.2,0.1,WatDiv,WatDiv,6
F35,0.4898490905761719,0.11512398719787598,0.3747251033782959,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.2,0.3,WatDiv,WatDiv,6
F35,0.48532891273498535,0.10675287246704102,0.37857604026794434,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.2,0.5,WatDiv,WatDiv,6
F35,0.4477980136871338,0.0867609977722168,0.361037015914917,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.2,0.7,WatDiv,WatDiv,6
F35,0.4572601318359375,0.0886380672454834,0.3686220645904541,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.2,0.9,WatDiv,WatDiv,6
F35,0.4576718807220459,0.09061717987060547,0.36705470085144043,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.25,0.1,WatDiv,WatDiv,6
F35,0.4768989086151123,0.08911895751953125,0.38777995109558105,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.25,0.3,WatDiv,WatDiv,6
